symbol,SPY,SPY,SPY,SPY,SPY,QQQ,QQQ,QQQ,QQQ,QQQ,GLD,GLD,GLD,GLD,GLD,USO,USO,USO,USO,USO,HYG,HYG,HYG,HYG,HYG
field,Open,High,Low,Close,Adj Close,Open,High,Low,Close,Adj Close,Open,High,Low,Close,Adj Close,Open,High,Low,Close,Adj Close,Open,High,Low,Close,Adj Close
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,112.37,113.39,111.51,113.33,84.7964,46.33,46.49,46.27,46.42,40.2908,109.82,110.14,109.31,109.8,109.8,320.32,322.4,318.96,322.16,322.16,88.0,88.53,88.0,88.53,34.7552
2010-01-05,113.26,113.68,112.85,113.63,85.0208,46.39,46.5,46.16,46.42,40.2908,109.88,110.39,109.26,109.7,109.7,322.0,323.6,319.44,323.28,323.28,88.75,89.08,88.42,88.95,34.9201
2010-01-06,113.52,113.99,113.43,113.71,85.0807,46.4,46.55,46.07,46.14,40.0478,110.71,111.77,110.41,111.51,111.51,322.56,329.52,319.12,327.76,327.76,89.04,89.26,89.0,89.18,35.0104
2010-01-07,113.5,114.33,113.18,114.19,85.4398,46.21,46.27,45.92,46.17,40.0738,111.07,111.29,110.62,110.82,110.82,326.96,328.64,325.44,325.76,325.76,89.38,89.63,89.11,89.54,35.1517
2010-01-08,113.89,114.62,113.66,114.57,85.7242,46.07,46.55,45.93,46.55,40.4036,111.52,111.58,110.26,111.37,111.37,325.04,329.36,323.6,327.44,327.44,89.56,89.81,89.51,89.68,35.2067
2010-01-11,115.08,115.13,114.24,114.73,85.8439,46.61,46.64,46.12,46.36,40.2387,113.34,113.59,112.52,112.85,112.85,328.72,329.52,323.68,324.32,324.32,89.5,89.71,89.48,89.6,35.1753
2010-01-12,113.97,114.21,113.22,113.66,85.0433,46.08,46.14,45.53,45.78,39.7353,112.38,113.05,110.14,110.49,110.49,320.56,322.88,316.24,317.04,317.04,89.5,90.29,89.05,89.14,34.9947
2010-01-13,113.95,114.94,113.37,114.62,85.7616,45.92,46.49,45.61,46.35,40.23,110.92,111.57,109.57,111.54,111.54,315.2,317.68,309.04,313.68,313.68,89.1,89.42,89.1,89.34,35.0732
2010-01-14,114.49,115.14,114.42,114.93,85.9935,46.26,46.52,46.22,46.39,40.2647,111.51,112.37,110.79,112.03,112.03,314.4,315.52,311.04,312.48,312.48,89.44,89.48,89.21,89.44,35.1125
2010-01-15,114.73,114.84,113.2,113.64,85.0283,46.47,46.55,45.65,45.85,39.7961,111.35,112.01,110.38,110.86,110.86,311.76,312.16,306.24,307.2,307.2,89.52,89.52,88.99,89.08,34.9711
2010-01-19,113.62,115.13,113.59,115.06,86.0908,45.96,46.64,45.95,46.59,40.4383,110.95,111.75,110.83,111.52,111.52,304.56,311.6,304.24,311.44,311.44,89.0,89.2,88.97,89.12,34.9868
